"Handle","Title","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","URL"
"northern-lights-optic-nl2","Northern Lights Optic NL2","Northern Lights Optic","Eyewear","Eyewear, Forged Performance, Mountaineering Glasses, Sunglasses","TRUE","Color","Black","Size","One Size Fits All",,,,454,"shopify",2,"deny","manual",199,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/NL2_Black_AlpsandMeters.jpg?v=1489437127",1,,"FALSE",,"A classic style modernized with a combination of metal & acetate construction. A unique bridge design and flatter 4 base lenses set this design apart.",,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/NL2_Black_AlpsandMeters.jpg?v=1489437127","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl2"
"northern-lights-optic-nl2",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/NL2_Black_Front_AlpsandMeters.jpg?v=1489437127",2,,,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl3"
"northern-lights-optic-nl4","Northern Lights Optic NL4","Northern Lights Optic","Eyewear","Eyewear, Forged Performance, Mountaineering Glasses, Sunglasses","TRUE","Color","Black","Size","One Size Fits All",,,"300006MBOS",454,"shopify",2,"deny","manual",279,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/NL4_Black_AlpsandMeters.jpg?v=1489434303",1,"Black","FALSE",,"Inspired by vintage mountaineering glasses, the NL4 is a new interpretation of the classic aviator.",,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/NL4_Black_AlpsandMeters.jpg?v=1489434303","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl4"
"northern-lights-optic-nl4",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/NL4_Black_Front_AlpsandMeters.jpg?v=1489429102",2,,,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl5"
"northern-lights-optic-nl5","Northern Lights Optic NL5","Northern Lights Optic","Eyewear","Eyewear, Forged Performance, Mountaineering Glasses, Sunglasses","TRUE","Color","Black","Size","One Size Fits All",,,,454,"shopify",2,"deny","manual",199,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/NL5_Black_AlpsandMeters.jpg?v=1489177983",1,"Alpine Noir","FALSE",,"The iconic wayfarer style, reinterpreted with a combination of metal & acetate construction",,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/NL5_Black_AlpsandMeters.jpg?v=1489177983","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl5"
"northern-lights-optic-nl5",,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/NL5_Black_Front_AlpsandMeters.jpg?v=1489177504",2,,,,,,,,,,,,,,,,,,,,,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl6"
"northern-lights-optic-nl19","Northern Lights Optic NL19","Northern Lights Optic","Eyewear","Eyewear, Forged Performance, Moutaineering Glasses, Sunglasses","TRUE","Color","Black",,,,,"300004BLOS",454,"shopify",2,"deny","manual",279,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/Nl19_AlpineNoir_AlpsandMeters.jpg?v=1489164633",1,"Black","FALSE",,"Drawing its inspiration from the 1970’s, this hexagonal aviator has been reinvented with bold geometry and an understated single bridge spanning its top",,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/Nl19_AlpineNoir_AlpsandMeters.jpg?v=1489164633","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl19"
"northern-lights-optic-nl19",,,,,,,"Gold",,,,,"300004GDOS",454,"shopify",2,"deny","manual",279,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/Nl19_Green-Gold_AlpsandMeters.jpg?v=1489164641",2,"Gold",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/Nl19_Green-Gold_AlpsandMeters.jpg?v=1489164641","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl20"
"northern-lights-optic-nl19",,,,,,,"Silver",,,,,"300004SLGOS",454,"shopify",2,"deny","manual",279,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/Nl19_Silver_AlpsandMeters.jpg?v=1489164648",3,"Silver",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/Nl19_Silver_AlpsandMeters.jpg?v=1489164648","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl21"
"northern-lights-optic-nl6","Northern Lights Optic NL6","Northern Lights Optic","Eyewear","Eyewear, Forged Performance, Moutaineering Glasses, Sunglasses","TRUE","Color","Matte Silver","Size","One Size Fits All",,,"300002MSOS",454,"shopify",0,"deny","manual",279,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/0648/7519/products/product_nl6_feature.jpg?v=1489163954",1,"Northern Lights Optic NL6 - Alps & Meters
 - 1","FALSE",,"The NL-6 : Inspired by vintage mountaineering glasses. Outfitted with genuine leather sides designed to block glare while mountain climbing or traveling on ice.",,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/0648/7519/products/nl6_silver.jpg?v=1489163954","lb",,"https://www.alpsandmeters.com/collections/essentials/products/northern-lights-optic-nl6"
