"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code"
"weekdays-dad-hat-white","Weekdays Dad Hat, White","<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>Even women can look like cool dads in this sweet hat.</span><br><i>• 6-Panel<br>• 100% Cotton<br>• 3 1/4"" Unstructured relaxed<br>• Extra low profile<br>• Matching cotton sweatband and under visor<br>• Cloth strap with antique rail buckle</i></p>
<p><i>One size fits most</i></p>","days off","Accessories","Accessories","TRUE","Color","White",,,,,"DO161173-White",454,"shopify",2,"deny","manual",30,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0001_2K3A5425.jpg?v=1492663109",1,"Weekdays Dad Hat, White - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0001_2K3A5425.jpg?v=1492663109","lb",
"weekdays-dad-hat-white",,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0000_2K3A5427.jpg?v=1492663110",2,"Weekdays Dad Hat, White - days off",,,,,,,,,,,,,,,,,,,
"weekdays-dad-hat","Weekdays Dad Hat, Navy","<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>Even women can look like cool dads in this sweet hat.</span><br><i>• 6-Panel<br>• 100% Cotton<br>• 3 1/4"" Unstructured relaxed<br>• Extra low profile<br>• Matching cotton sweatband and under visor<br>• Cloth strap with antique rail buckle</i></p>
<p><i>One size fits most</i></p>","days off","Accessories","Accessories","TRUE","Color","Navy",,,,,"DO161173-Navy",454,"shopify",2,"deny","manual",30,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0003_2K3A5418.jpg?v=1492663108",1,"Weekdays Dad Hat, Navy - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0003_2K3A5418.jpg?v=1492663108","lb",
"weekdays-dad-hat",,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/days_off_hat__0002_2K3A5424.jpg?v=1492663109",2,"Weekdays Dad Hat, Navy - days off",,,,,,,,,,,,,,,,,,,
"owen-tote-bag","Owen Tote Bag","<meta charset=""utf-8"">
<p><span>Large enough for a 6 pack and a beach towel, small enough so that you don't look like a man with a purse.</span><br><i>• 100% Cotton sheeting<br>• Natural color body and navy handles<br>• 22"" handles (self fabric)<br>• 15""W x 16""H Body<br>• Screen printed artwork on front and back (centered)<br></i></p>","days off","Accessories","Accessories","TRUE","Color","Canvas",,,,,"DO161172-Canvas",454,"shopify",5,"deny","manual",28,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/Messages_Image_2509141854.png?v=1493392789",1,"Owen Tote Bag - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/Messages_Image_2300278726.png?v=1493392789","lb",
"owen-tote-bag",,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/Messages_Image_2300278726.png?v=1493392789",2,"Owen Tote Bag - days off",,,,,,,,,,,,,,,,,,,
"weekend-longsleeve-tee-white","Weekend Longsleeve Tee, White","<meta charset=""utf-8""><span>Days off are better than others. </span><br><i>• Weekdays logo printed on left chest<br>• Cross out logo printed on back<br>• 100% Cotton</i>","Days Off","Tees","Tops","TRUE","Size","S","Color","White",,,"DO168888-White",454,"shopify",0,"deny","manual",44,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112",1,"Weekend Longsleeve Tee, White - days off","FALSE",,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112","lb",
"weekend-longsleeve-tee-white",,,,,,,,"M",,"White",,,"DO168888-White",454,"shopify",2,"deny","manual",44,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0005_2K3A5766edit.jpg?v=1492663113",2,"Weekend Longsleeve Tee, White - days off",,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112","lb",
"weekend-longsleeve-tee-white",,,,,,,,"L",,"White",,,"DO168888-White",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112","lb",
"weekend-longsleeve-tee-white",,,,,,,,"XL",,"White",,,"DO168888-White",454,"shopify",1,"deny","manual",44,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,"https://cdn.shopify.com/s/files/1/1510/6376/products/longsleeve_tees__0004_2K3A5768edit.jpg?v=1492663112","lb",
