"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code"
"s-s-cloud-black","S/S CLOUD","<p>S/S CLOUD</p>","LA FAMILIA MMXIV","SHIRT","20-40, S/S CLOUD, SHIRT","FALSE","Size","S","Color","BLACK",,,"PLSP17SS003-BLK-S",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566367,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"S/S CLOUD",,,"New",,,,,,,,"lb",
"s-s-cloud-black",,,,,,,,"M",,"BLACK",,,"PLSP17SS003-BLK-M",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566374,,,,,,,,,,,,,,,,,,,,,"lb",
"s-s-cloud-black",,,,,,,,"L",,"BLACK",,,"PLSP17SS003-BLK-L",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566381,,,,,,,,,,,,,,,,,,,,,"lb",
"s-s-cloud-black",,,,,,,,"XL",,"BLACK",,,"PLSP17SS003-BLK-XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566398,,,,,,,,,,,,,,,,,,,,,"lb",
"s-s-cloud-black",,,,,,,,"2XL",,"BLACK",,,"PLSP17SS003-BLK-2XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566404,,,,,,,,,,,,,,,,,,,,,"lb",
"s-s-drip-black","S/S DRIP","<p>S/S DRIP</p>","LA FAMILIA MMXIV","SHIRT","20-40, S/S DRIP, SHIRT","FALSE","Size","S","Color","BLACK",,,"PLSP17SS002-BLK-S",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566312,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"S/S DRIP",,,"New",,,,,,,,"lb",
"s-s-drip-black",,,,,,,,"M",,"BLACK",,,"PLSP17SS002-BLK-M",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566329,,,,,,,,,,,,,,,,,,,,,"lb",
"s-s-drip-black",,,,,,,,"L",,"BLACK",,,"PLSP17SS002-BLK-L",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566336,,,,,,,,,,,,,,,,,,,,,"lb",
"s-s-drip-black",,,,,,,,"XL",,"BLACK",,,"PLSP17SS002-BLK-XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566343,,,,,,,,,,,,,,,,,,,,,"lb",
"s-s-drip-black",,,,,,,,"2XL",,"BLACK",,,"PLSP17SS002-BLK-2XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566350,,,,,,,,,,,,,,,,,,,,,"lb",
"s-s-splatter-black","S/S SPLATTER","<p>S/S SPLATTER</p>","LA FAMILIA MMXIV","SHIRT","20-40, S/S SPLATTER, SHIRT","FALSE","Size","S","Color","BLACK",,,"PLSP17SS001-BLK-S",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566268,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"S/S SPLATTER",,,"New",,,,,,,,"lb",
"s-s-splatter-black",,,,,,,,"M",,"BLACK",,,"PLSP17SS001-BLK-M",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566275,,,,,,,,,,,,,,,,,,,,,"lb",
"s-s-splatter-black",,,,,,,,"L",,"BLACK",,,"PLSP17SS001-BLK-L",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236566282,,,,,,,,,,,,,,,,,,,,,"lb",
