"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code"
"garfield-snowstorm","Field- Storm","F/W 17 Agate polished beads. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",49.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0069_copy.jpg?v=1495418351",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"garfield-crackled","Field- Crackled","F/W 17 Agate polished beads. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",49.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170510_GROWNEY_0053_copy.jpg?v=1495417194",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"garfield-white-carven","Field- White Carven","F/W 17 Agate polished beads. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",49.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0065_copy.jpg?v=1495417076",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"garfield-red","Field- Red","F/W 17 Agate polished beads. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",49.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0083_copy.jpg?v=1495418850",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"garfield-tiger-eye","Field- Tiger's Eye","F/W 17 Tiger's eye polished beads. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",49.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0080_copy.jpg?v=1495418754",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"garfield-noir","Field- Noir","F/W 17 Onyx polished beads. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",49.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0075_copy.jpg?v=1495418500",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"northington-noir","North- Noir","F/W 17 Onyx polished beads with fabric tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",59.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0079_copy.jpg?v=1495418595",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"northington-red","North- Red","F/W 17 Agate polished beads with fabric tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",59.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0085_copy.jpg?v=1495418951",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"northington-snowstorm","North- Storm","F/W 17 Agate polished beads with fabric tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",59.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0074_copy.jpg?v=1495418455",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"northington-crackled","North- Crackled","F/W 17 Agate polished beads with fabric tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",59.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170510_GROWNEY_0054_copy.jpg?v=1495417287",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
