"Variant SKU","Title","Body (HTML)","Variant Grams","Variant Inventory Qty","Variant Price","Image Src","Image Position","Variant Weight Unit"
"R1608006_black","RUCKSACK / RS22L","<p><span>Function/use: Our RS-22L is a fashion-forward addition to your pack collection. Bigger than a regular backpack, this is a contemporary take on a traditional design with a tech-savvy edge. Take this one on the road or use it daily paired with the Dopp Kit for additional organization.</span></p>
<meta charset=""utf-8"">
<p><span><span>Dimensions:</span><br><span>21��x 12 x 5 in.</span><br><span>Weight: 2.5 lbs.��</span></span></p>",454,21,185.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_RUCKSACK_RS22L_BLK1.jpg?v=1493405690",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_RUCKSACK_RS22L_BLK1_3cd7960a-3977-469a-9ed4-cf1bc63d1e16.jpg?v=1493405690",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_RUCKSACK_RS22L_BLK3.jpg?v=1493405690",3,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_RUCKSACK_RS22L_BLK2.jpg?v=1493405690",4,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica__inside2_rucksack_inside.jpg?v=1493405690",5,
"R1608005_black","CAMERA BAG / CB-24L","<p><span>Function/use: The CB-24L is lightweight, comfortable and perfect for a day of photo shoots in any condition. The hidden rainfly, coated YKK weather guard zippers, and water resistant CORDURA ballistic fabric makes this bag reliable and you unstoppable. Quick rear entry to the camera compartment and an adjustable side tripod holster offer further functionality and customizable padded camera dividers and interior and exterior organization give you plenty of room for everything you need.��</span></p>
<p><span>Dimensions:<br>18 x 12 x 8 in.<br>Weight: 4 lbs.��</span></p>",1814,22,239.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_13.jpg?v=1493405530",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_CAMERA_BAG_CB24L_BLK1.jpg?v=1493405530",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_CAMERA_BAG_CB24L_BLK3.jpg?v=1493405530",3,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_CAMERA_BAG_CB24L_BLK2.jpg?v=1493405530",4,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica__inside_camera.jpg?v=1493405530",5,
"R1608002_black","SQUARE PACK / SP-15L","<p><span>Function/use: The SP-15L is our midsized daypack with a modern silhouette made for the individual who wants an update to their everyday carry while remaining professional. With two large compartments, this bag is big enough to hold up to a 15�۝ laptop and all the accessories that go along with it.��</span>��</p>
<meta charset=""utf-8"">
<p><span><span>Dimensions:</span><br><span>18 x 12 x 5 in.</span><br><span>Weight: 2.5 lbs.��</span></span><span>��</span>��</p>
<div></div>
<div></div>",1814,21,179.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_7_f9355ccb-1b7d-4ff7-90f7-31fc126a970f.jpg?v=1493406053",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_SQUAREPACK_SP15L_BLK1.jpg?v=1493406053",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_SQUAREPACK_SP15L_BLK3.jpg?v=1493406053",3,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_SQUAREPACK_SP15L_BLK2.jpg?v=1493406053",4,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica__inside8_squarepack_lay.jpg?v=1493406053",5,
"R1608001_black","DAYPACK / DP-16L","<p><span>Function/use: The DP-15L is our go-to companion for everyday use. Even though it�۪s our smallest bag, it�۪s still big enough to fit up to a 15�۝ laptop and has an expandable gusseted side pocket for water bottle storage. An EVA compression molded back panel and air mesh shoulder straps make this bag comfortable while remaining lightweight.</span></p>
<meta charset=""utf-8"">
<p><span><span>Dimensions:</span><br><span>18 x 12 x 5 in.</span><br><span>Weight: 2.5 lbs.��</span></span><span>��</span></p>",907,23,149.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica.jpg?v=1493405378",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Full.jpg?v=1493405378",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Daypack_DP-16L_BLK3.jpg?v=1493405378",3,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Daypack_DP-16L_BLK2.jpg?v=1493405378",4,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica__inside4_daypack.jpg?v=1493405378",5,
"R16008008_black","MESSENGER BAG / MB-10L","<p><span>Function/use: The MS-10L is the ideal pack for those days you�۪re on the move. Interior and exterior organization will keep what you need close and easily accessible, allowing you to travel with ease knowing your essentials are safely stored, no matter what your mode of transportation may be.</span></p>
<meta charset=""utf-8"">
<p><span><span>Dimensions:</span><br><span>18 x 13 x 5 in.</span><br><span>Weight: 2 lbs.��</span></span></p>
<ul></ul>
<div></div>",907,24,145.95,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_MESSENGER_BAG_MB10L_BLK.jpg?v=1490749244",1,"lb"
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Full27.jpg?v=1490749244",2,
,,,,,,"https://cdn.shopify.com/s/files/1/0809/9139/products/Repelica_Fit7_MB10L.jpg?v=1490749244",3,
