"Variant SKU","Title","Body (HTML)","Option1 Name","Option1 Value","Variant Grams","Variant Inventory Qty","Variant Price","Image Src","Image Position","Variant Weight Unit"
"tc1601027_heather","Taped Up Shorts - Heather","<p>Fabric content: 80% Cotton, 20%��Polyester.</p>
<p>9oz soft washed fleece short with ���COZY�۝ tape all across left and right side seams, drawstring cord, ribbed gusset at crotch, ribbed waistband, side pockets on both left and right, single back pocket on wearer�۪s right.</p>
<p>//*tab*//</p>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""260"">
<tbody>
<tr height=""15"">
<td class=""xl63"" height=""15"" width=""65"">Size</td>
<td class=""xl63"" width=""65"">Body Length</td>
<td class=""xl63"" width=""65"">Sleeve Length</td>
<td class=""xl63"" width=""65"">Chest Width</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">S</td>
<td align=""right"">28</td>
<td class=""xl64"" align=""right"">7 1/2</td>
<td align=""right"">18</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">M</td>
<td align=""right"">29</td>
<td class=""xl64"" align=""right"">8</td>
<td align=""right"">20</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">L</td>
<td align=""right"">30</td>
<td align=""right"">9</td>
<td align=""right"">22</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">XL</td>
<td align=""right"">31</td>
<td class=""xl64"" align=""right"">9 1/2</td>
<td align=""right"">24</td>
</tr>
</tbody>
</table>","Size","S",450,4,68,"https://cdn.shopify.com/s/files/1/0865/3202/products/CozyShorts_Htr_Front.jpg?v=1494978077",1,"lb"
"tc1601027_heather",,,,"M",450,11,68,"https://cdn.shopify.com/s/files/1/0865/3202/products/CozyShorts_Htr_Back.jpg?v=1494978080",2,"lb"
"tc1601027_heather",,,,"L",450,7,68,,,"lb"
"tc1601027_heather",,,,"XL",450,4,68,,,"lb"
"tc1601027_heather",,,,"2XL",450,2,68,,,"lb"
"tc1601027_black","Taped Up Shorts - Black","<p>Fabric content: 80% Cotton, 20%��Polyester.</p>
<p>9oz soft washed fleece short with ���COZY�۝ tape all across left and right side seams, drawstring cord, ribbed gusset at crotch, ribbed waistband, side pockets on both left and right, single back pocket on wearer�۪s right.</p>
<p>//*tab*//</p>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""260"">
<tbody>
<tr height=""15"">
<td class=""xl63"" height=""15"" width=""65"">Size</td>
<td class=""xl63"" width=""65"">Body Length</td>
<td class=""xl63"" width=""65"">Sleeve Length</td>
<td class=""xl63"" width=""65"">Chest Width</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">S</td>
<td align=""right"">28</td>
<td class=""xl64"" align=""right"">7 1/2</td>
<td align=""right"">18</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">M</td>
<td align=""right"">29</td>
<td class=""xl64"" align=""right"">8</td>
<td align=""right"">20</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">L</td>
<td align=""right"">30</td>
<td align=""right"">9</td>
<td align=""right"">22</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">XL</td>
<td align=""right"">31</td>
<td class=""xl64"" align=""right"">9 1/2</td>
<td align=""right"">24</td>
</tr>
</tbody>
</table>","Size","S",450,4,68,"https://cdn.shopify.com/s/files/1/0865/3202/products/CozyShorts_Black_Front.JPG?v=1494977775",1,"lb"
"tc1601027_black",,,,"M",450,11,68,"https://cdn.shopify.com/s/files/1/0865/3202/products/CozyShorts_Black_Back.jpg?v=1494977775",2,"lb"
"tc1601027_black",,,,"L",450,7,68,,,"lb"
"tc1601027_black",,,,"XL",450,3,68,,,"lb"
"tc1601027_black",,,,"2XL",450,1,68,,,"lb"
"tc1709003_white","Cozy Zapper 9000 Tee - White","<p>Fabric: 100% Cotton <br> Details: Premium 5.5oz ring spun, soft washed cotton t-shirt with embellishments on front, back and care label on inside neck panel.</p>
<p>//*tab*//</p>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""260"">
<tbody>
<tr height=""15"">
<td class=""xl63"" height=""15"" width=""65"">Size</td>
<td class=""xl63"" width=""65"">Body Length</td>
<td class=""xl63"" width=""65"">Sleeve Length</td>
<td class=""xl63"" width=""65"">Chest Width</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">S</td>
<td align=""right"">28</td>
<td class=""xl64"" align=""right"">7 1/2</td>
<td align=""right"">18</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">M</td>
<td align=""right"">29</td>
<td class=""xl64"" align=""right"">8</td>
<td align=""right"">20</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">L</td>
<td align=""right"">30</td>
<td align=""right"">9</td>
<td align=""right"">22</td>
</tr>
<tr height=""15"">
<td class=""xl63"" height=""15"">XL</td>
<td align=""right"">31</td>
<td class=""xl64"" align=""right"">9 1/2</td>
<td align=""right"">24</td>
</tr>
</tbody>
</table>","Size","S",450,3,34,"https://cdn.shopify.com/s/files/1/0865/3202/products/ZapperTee_White_Back.jpg?v=1494971588",1,"lb"
"tc1709003_white",,,,"M",450,5,34,"https://cdn.shopify.com/s/files/1/0865/3202/products/ZapperTee_White_Front.jpg?v=1494971588",2,"lb"
"tc1709003_white",,,,"L",450,3,34,,,"lb"
"tc1709003_white",,,,"XL",450,4,34,,,"lb"
