"category","subcategory","sub_subcategory"
"CLOTHING",,
,"Coats and Jackets","Bomber jackets, Coats, Denim jackets, Down jackets, Leather jackets, Parkas, Track jackets, Varsity jackets, Vests, Windbreakers, Winter"
,"Long Sleeve T-shirts ","Graphic, Plain, Striped"
,"Jeans",
,"Pants","Joggers, Racing pants, Sweats, Trousers"
,"Polos",
,"Shorts",
,"Shirts",
,"Sweaters",
,"Sweatshirts","Crewnecks, Hoodies"
,"Swimwear",
,"Tank Tops",
,"T-shirts ","Graphic, Plain, Striped"
,"Underwear and Socks","Boxers, Briefs, Loungewear / Pajamas, Socks"
"FOOTWEAR",,
,"Boots",
,"Shoes",
,"Shoe care",
,"Slides",
,"Sneakers",
"ACCESSORIES",,
,"Bags","Backpacks, Duffel bags, Pouches, Totes, Side bags / Belt bags "
,"Belts",
,"Eyewear","Eyeglass frames, Sunglasses"
,"Gloves",
,"Hats","Beanies, Bucket hats, Flat caps, Snapbacks / Fitted, Trapper hats"
,"Jewelry","Bracelets, Cuff links, Lapel pins, Necklaces, Rings, Tie clips "
,"Misc. accessories",
,"Scarves / Bandanas",
,"Wallets",
,"Watches","Watches, Watch accessories"
"LIFESTYLE",,
,"Art",
,"Bath",
,"Bedding",
,"Gift Cards",
,"Misc. Accessories",
