gram,count,category_1,category_2,category_3,hide
0,62,,,,
1,107,,,,
2,169,,,,
3,111,,,,
4,55,,,,
5,291,,,,
6,37,,,,
7,5,,,,
8,5,,,,
9,9,,,,
10,21,,,,
11,1,,,,
12,9,,,,
13,10,,,,
14,39,,,,
15,26,,,,
16,71,,,,
17,110,,,,
18,58,,,,
20,277,,,,
22,6,,,,
23,1,,,,
24,1,,,,
25,11,,,,
28,2,,,,
30,7,,,,
32,1,,,,
35,41,,,,
36,120,,,,
38,2,,,,
39,3,,,,
40,560,,,,
42,3,,,,
46,2,,,,
48,2,,,,
50,404,,,,
56,1,,,,
58,3,,,,
60,73,,,,
66,1,,,,
69,1,,,,
70,1,,,,
72,1,,,,
76,1,,,,
80,20,,,,
85,11,,,,
89,1,,,,
90,34,,,,
92,7,,,,
93,6,,,,
94,1,,,,
95,21,,,,
97,6,,,,
99,37,,,,
100,8,,,,
105,3,,,,
112,3,,,,
130,3,,,,
150,1,,,,
191,5,,,,
200,3,,,,
201,1,,,,
222,3,,,,
250,1,,,,
350,2,,,,
360,2,,,,
404,1,,,,
500,1,,,,
501,13,,,,
510,2,,,,
511,3,,,,
512,6,,,,
519,5,,,,
666,1,,,,
700,1,,,,
710,1,,,,
911,1,,,,
1000,5,,,,
1171,34,,,,
1904,1,,,,
1906,1,,,,
1970,4,,,,
1979,6,,,,
1984,1,,,,
1985,5,,,,
1990,2,,,,
1992,48,,,,
1993,11,,,,
1994,4,,,,
1999,1,,,,
2014,88,,,,
2015,454,,,,
2016,476,,,,
2017,793,,,,
5000,1,,,,
6000,1,,,,
8201,2,,,,
9000,3,,,,
22317,1,,,,
carhartt,524,,,,
wip,536,,,,
aviation,116,,,,
pant,225,,,,
carhartt wip,517,,,,
wip aviation,26,,,,
aviation pant,12,,,,
carhartt wip aviation,26,,,,
wip aviation pant,12,,,,
bomb,115,,,,
clothing,172,,,,
bcc,6,,,,
bomb clothing,112,,,,
clothing bcc,6,,,,
bomb clothing bcc,6,,,,
tech,65,,,,
jacket,782,,,,
bcc tech,2,,,,
tech jacket,5,,,,
clothing bcc tech,2,,,,
bcc tech jacket,2,,,,
desert,22,,,,
panelled,7,,,,
pants,1361,,,,
clothing desert,2,,,,
desert panelled,3,,,,
panelled pants,5,,,,
bomb clothing desert,2,,,,
clothing desert panelled,2,,,,
desert panelled pants,3,,,,
fishtail,12,,,,
anorak,46,,,,
clothing fishtail,2,,,,
fishtail anorak,2,,,,
bomb clothing fishtail,2,,,,
clothing fishtail anorak,2,,,,
flawed,2,,,,
youth,189,,,,
clothing flawed,2,,,,
flawed youth,2,,,,
bomb clothing flawed,2,,,,
clothing flawed youth,2,,,,
grid,5,,,,
clothing grid,2,,,,
bomb clothing grid,2,,,,
iconic,9,,,,
clothing iconic,2,,,,
bomb clothing iconic,2,,,,
lines,7,,,,
clothing lines,3,,,,
bomb clothing lines,3,,,,
scoop,21,,,,
longline,13,,,,
longsleeve,116,,,,
tee,2839,,,,
clothing scoop,9,,,,
scoop longline,9,,,,
longline longsleeve,4,,,,
longsleeve tee,23,,,,
bomb clothing scoop,9,,,,
clothing scoop longline,9,,,,
scoop longline longsleeve,4,,,,
longline longsleeve tee,4,,,,
tank,156,,,,
longline tank,3,,,,
scoop longline tank,3,,,,
self,4,,,,
aware,3,,,,
clothing self,3,,,,
self aware,3,,,,
bomb clothing self,3,,,,
clothing self aware,3,,,,
squad,13,,,,
jersey,108,,,,
clothing squad,7,,,,
squad jersey,2,,,,
bomb clothing squad,7,,,,
clothing squad jersey,2,,,,
standard,181,,,,
clothing standard,3,,,,
standard tee,59,,,,
bomb clothing standard,3,,,,
clothing standard tee,2,,,,
team,293,,,,
clothing team,5,,,,
team 2,2,,,,
bomb clothing team,5,,,,
clothing team 2,2,,,,
clothing tech,2,,,,
tech pant,4,,,,
bomb clothing tech,2,,,,
clothing tech pant,2,,,,
tundra,8,,,,
crewneck,246,,,,
clothing tundra,5,,,,
tundra panelled,4,,,,
panelled crewneck,2,,,,
bomb clothing tundra,5,,,,
clothing tundra panelled,4,,,,
tundra panelled crewneck,2,,,,
tundra panelled pants,2,,,,
utopia,3,,,,
clothing utopia,3,,,,
bomb clothing utopia,3,,,,
what,7,,,,
is,106,,,,
echelon,2,,,,
clothing what,2,,,,
what is,3,,,,
is echelon,2,,,,
bomb clothing what,2,,,,
clothing what is,2,,,,
what is echelon,2,,,,
pair,430,,,,
of,551,,,,
thieves,407,,,,
connect,2,,,,
the,711,,,,
dots,11,,,,
pair of,402,,,,
of thieves,402,,,,
thieves connect,2,,,,
connect the,2,,,,
the dots,2,,,,
pair of thieves,402,,,,
of thieves connect,2,,,,
thieves connect the,2,,,,
connect the dots,2,,,,
puma,400,,,,
blaze,25,,,,
glory,12,,,,
sock,605,,,,
hanami,1,,,,
men,1052,,,,
s,2601,,,,
sneakers,441,,,,
puma blaze,14,,,,
blaze of,12,,,,
of glory,12,,,,
glory sock,3,,,,
sock hanami,1,,,,
hanami men,1,,,,
men s,727,,,,
s sneakers,255,,,,
puma blaze of,12,,,,
blaze of glory,12,,,,
of glory sock,3,,,,
glory sock hanami,1,,,,
sock hanami men,1,,,,
hanami men s,1,,,,
men s sneakers,106,,,,
ignite,13,,,,
limitless,7,,,,
colorblock,9,,,,
training,24,,,,
shoes,844,,,,
puma ignite,9,,,,
ignite limitless,5,,,,
limitless colorblock,1,,,,
colorblock men,1,,,,
s training,15,,,,
training shoes,16,,,,
puma ignite limitless,4,,,,
ignite limitless colorblock,1,,,,
limitless colorblock men,1,,,,
colorblock men s,1,,,,
men s training,15,,,,
s training shoes,15,,,,
limitless men,1,,,,
ignite limitless men,1,,,,
limitless men s,1,,,,
evoknit,7,,,,
fade,4,,,,
ignite evoknit,5,,,,
evoknit fade,1,,,,
fade men,1,,,,
puma ignite evoknit,2,,,,
ignite evoknit fade,1,,,,
evoknit fade men,1,,,,
fade men s,1,,,,
fierce,1,,,,
core,20,,,,
puma fierce,1,,,,
fierce core,1,,,,
core men,9,,,,
puma fierce core,1,,,,
fierce core men,1,,,,
core men s,9,,,,
suede,253,,,,
classic,263,,,,
tonal,17,,,,
puma suede,18,,,,
suede classic,15,,,,
classic tonal,3,,,,
tonal men,1,,,,
puma suede classic,14,,,,
suede classic tonal,1,,,,
classic tonal men,1,,,,
tonal men s,1,,,,
classic men,2,,,,
suede classic men,1,,,,
classic men s,2,,,,
americana,2,,,,
puma americana,1,,,,
americana suede,1,,,,
suede men,1,,,,
puma americana suede,1,,,,
americana suede men,1,,,,
suede men s,1,,,,
basket,13,,,,
citi,1,,,,
metallic,2,,,,
puma basket,10,,,,
basket classic,9,,,,
classic citi,1,,,,
citi metallic,1,,,,
metallic men,1,,,,
puma basket classic,8,,,,
basket classic citi,1,,,,
classic citi metallic,1,,,,
citi metallic men,1,,,,
metallic men s,1,,,,
holographic,8,,,,
classic holographic,1,,,,
holographic men,4,,,,
basket classic holographic,1,,,,
classic holographic men,1,,,,
holographic men s,4,,,,
heritage,2,,,,
puma heritage,1,,,,
heritage basket,1,,,,
puma heritage basket,1,,,,
heritage basket classic,1,,,,
basket classic men,1,,,,
culture,2,,,,
surf,87,,,,
classic culture,1,,,,
culture surf,1,,,,
surf men,1,,,,
suede classic culture,1,,,,
classic culture surf,1,,,,
culture surf men,1,,,,
surf men s,1,,,,
holiday,431,,,,
suede holiday,1,,,,
holiday men,1,,,,
puma suede holiday,1,,,,
suede holiday men,1,,,,
holiday men s,1,,,,
zip,187,,,,
classic zip,1,,,,
zip men,1,,,,
suede classic zip,1,,,,
classic zip men,1,,,,
zip men s,1,,,,
sky,35,,,,
ii,51,,,,
hi,77,,,,
puma sky,7,,,,
sky ii,8,,,,
ii hi,8,,,,
hi holographic,3,,,,
puma sky ii,7,,,,
sky ii hi,8,,,,
ii hi holographic,3,,,,
hi holographic men,3,,,,
ferrari,2,,,,
driver,4,,,,
replica,1,,,,
puma ferrari,2,,,,
ferrari driver,1,,,,
driver evoknit,1,,,,
evoknit replica,1,,,,
